Age ,Male,Female
0,76.04,80.99
1,75.52,80.43
2,74.55,79.46
3,73.58,78.48
4,72.59,77.49
5,71.6,76.5
6,70.62,75.51
7,69.63,74.52
8,68.64,73.53
9,67.64,72.54
10,66.65,71.54
11,65.66,70.55
12,64.66,69.56
13,63.67,68.56
14,62.68,67.57
15,61.7,66.58
16,60.73,65.6
17,59.76,64.62
18,58.81,63.63
19,57.86,62.66
20,56.91,61.68
21,55.98,60.71
22,55.05,59.73
23,54.13,58.76
24,53.22,57.8
25,52.3,56.83
26,51.38,55.86
27,50.47,54.9
28,49.55,53.93
29,48.63,52.97
30,47.72,52.01
31,46.8,51.05
32,45.89,50.09
33,44.97,49.14
34,44.06,48.19
35,43.15,47.23
36,42.23,46.28
37,41.32,45.34
38,40.41,44.39
39,39.5,43.45
40,38.59,42.5
41,37.69,41.56
42,36.78,40.62
43,35.88,39.69
44,34.98,38.76
45,34.08,37.83
46,33.19,36.9
47,32.3,35.98
48,31.43,35.07
49,30.55,34.16
50,29.69,33.26
51,28.84,32.36
52,27.99,31.48
53,27.16,30.59
54,26.34,29.72
55,25.52,28.85
56,24.72,27.99
57,23.93,27.13
58,23.15,26.28
59,22.37,25.44
60,21.61,24.6
61,20.85,23.76
62,20.11,22.94
63,19.37,22.12
64,18.65,21.3
65,17.92,20.49
66,17.2,19.69
67,16.49,18.89
68,15.78,18.11
69,15.09,17.33
70,14.4,16.57
71,13.73,15.82
72,13.07,15.09
73,12.43,14.37
74,11.8,13.66
75,11.18,12.97
76,10.58,12.29
77,10,11.62
78,9.43,10.98
79,8.88,10.35
80,8.34,9.74
81,7.82,9.15
82,7.32,8.58
83,6.84,8.04
84,6.38,7.51
85,5.94,7.01
86,5.52,6.53
87,5.12,6.07
88,4.75,5.64
89,4.4,5.23
90,4.08,4.85
91,3.78,4.5
92,3.5,4.18
93,3.25,3.88
94,3.03,3.61
95,2.83,3.37
96,2.66,3.16
97,2.51,2.96
98,2.37,2.79
99,2.25,2.63
100,2.13,2.48
101,2.02,2.33
102,1.91,2.19
103,1.81,2.06
104,1.71,1.93
105,1.61,1.81
106,1.52,1.69
107,1.43,1.58
108,1.35,1.47
109,1.27,1.37
110,1.19,1.27
111,1.11,1.18
112,1.04,1.09
113,0.97,1.01
114,0.91,0.93
115,0.84,0.86
116,0.78,0.79
117,0.73,0.73
118,0.67,0.67
119,0.62,0.62
